股票代码,标题,情绪标签,情绪分数
600141,"兴发集团与世界名企""联姻"" 磷酸产品进军全球饮食市场",neutral,0.997158408164978
002453,天马精化被指排放刺鼻气体 环保部门要求整改,neutral,0.9999077320098877
002030,收受六家公司干股交由亲属司机代持,neutral,0.9999116659164429
600076,证监会处罚书密集下发 “预退”公司或面临索赔潮,negative,0.9995680451393127
600850,华东电脑收购对象经营严重依赖关联交易,neutral,0.9999126195907593
600569,安阳钢铁再曝铁矿石造假丑 涉事公司实控人为政协委员,neutral,0.3680196702480316
000662,索芙特收购迷雾：天夏科技挖坑等你跳？,neutral,0.9998993873596191
002437,普德药业IPO失败谋曲线上市 大客户关系藏玄机?,negative,0.9996086955070496
600875,"商务部回应""比港项目被叫停"":敦促希腊维护中企权利",neutral,0.9999023675918579
600487,亨通光电高溢价收购2公司 暗渡陈仓背后问题多,positive,0.9984521865844727
000977,传浪潮信息或将整合锐捷 大规模布局网络产品,neutral,0.9999018907546997
000729,燕京啤酒计划向境外投资者出售约20%股权,neutral,0.9999135732650757
600060,重磅：海信要接手索尼电视？！,neutral,0.9999125003814697
001696,电动四轮车只租不卖 宗申动力盯上车联网,neutral,0.9998843669891357
600028,中国石化有意分拆旗下零售业务上市,neutral,0.9999123811721802
600265,天然商品林被纳入全面禁伐 森工企业孰益孰损？,neutral,0.9513635039329529
300388,重要工程虚假披露 国祯环保涉嫌信披违规,neutral,0.9998989105224609
600872,中炬高新预付款乱象频现 涉嫌构成虚假交易,neutral,0.9999125003814697
002241,苹果公司74.8亿美元收购歌尔声学集团？,neutral,0.9999127388000488
600110,揭开中融人寿股权谜局,neutral,0.9999099969863892
000927,“掌门换人”引爆股价 东风一汽双双涨停,neutral,0.9987806677818298
002174,“霸道总裁”林奇为何拎10亿登门收购绿城？,neutral,0.9999139308929443
600587,新华医疗并购之痛:巨额商誉未计提减值 信披存争议,negative,0.9995430707931519
300104,"乐视：广电总局目前的OTT政策阻碍行业
发展，乐视要联合行业持续向广电反应",neutral,0.9999127388000488
601928,阿里擬投資鳳凰傳媒，布局在線教育,neutral,0.9999123811721802
002468,26亿交易牵出艾迪西代持纷争 同窗纠葛波及两A股公司,positive,0.9954187870025635
600573,惠泉啤酒或将迎整合重组,neutral,0.9999061822891235
002036,汉麻产业收购联创电子 后者涉嫌逃税麻烦多,negative,0.9996169805526733
601766,中国中车收购中国置业为海外布局埋伏笔,neutral,0.9998968839645386
300368,汇金股份定增谜团,neutral,0.9999020099639893
000715,揭秘中兴商业易主叫停 触碰国资流失“高压线”,negative,0.995943009853363
300393,铜掌柜搭档中来股份 玩转跨境电商“万亿金服”,neutral,0.9999130964279175
300359,全通教育股东减持一月后公告 股民痛斥流氓公司,negative,0.999614953994751
600986,合同纠纷未备注科达股份涉嫌虚增收入,neutral,0.9995880722999573
002206,九上市公司暴跌日增列遭处罚清单(图),negative,0.9995991587638855
603606,浙江省质监局：电线电缆产品不合格率为1.69%,neutral,0.9999135732650757
300372,欣泰电气收购标的多处存疑 应付账款深藏玄机,neutral,0.9999114274978638
000008,神州高铁“涅槃第二季”四重诡象,neutral,0.9999128580093384
002213,互联网+催热汽车零部件 特尔佳缓速器获进展,neutral,0.9879148006439209
600645,公开求购遭公开拒绝 中源协和收购CO公司遇阻,negative,0.5672026872634888
002505,事涉周本顺，大康牧业踢爆上市潜规则,neutral,0.9999099969863892
002020,京新药业收购子公司或目的不纯 财务数据存疑点,neutral,0.9998867511749268
002567,湖南最大农企唐人神陷入资金困境 平仓风险加大,positive,0.9997628331184387
600247,最强监管风暴来袭 63公司遭证监会立案调查,negative,0.9979547262191772
300169,天晟新材疑卷入证监会腐败案:收购成功股东撤,neutral,0.9993020296096802
600137,浪莎被指偷漏员工社保：一年可省约1830万,neutral,0.9998036026954651
600733,S前锋：方案沉睡八年 小股东坚守企盼,neutral,0.9998619556427002
600592,航空发动机专项扶持政策将出 万亿盛宴待享,positive,0.9993115663528442
600853,龙建股份定向增发问题多：财务数据漏洞百出,neutral,0.9999130964279175
300164,通源石油自身财务不明，拟收购标的财务疑点众多,neutral,0.999883770942688
601111,消息称国航与南航酝酿合并重组,neutral,0.9999020099639893
600029,消息称国航与南航酝酿合并重组,neutral,0.9999020099639893
600456,宝钛集团拟并购乌克兰MotorSich航空发动机厂商,neutral,0.9999116659164429
002671,龙泉股份定增对象财务数据存疑 毛利率变动异常,neutral,0.9999041557312012
002570,贝因美再现资金缺口 恒天然入股35亿到账成疑,neutral,0.9999041557312012
600186,莲花味精被曝骗取5000万出口退税,negative,0.9852842688560486
600485,两只通信设备大盘股 你选哪家？ ,neutral,0.9999120235443115
000812,陕西金叶收购标的利用率低下 巨额采购不知所踪,neutral,0.9997788071632385
300135,"宝利国际遭调查背后：前员工举报转
移利润",neutral,0.9999133348464966
300466,赛摩电气高价收购疑点重重,neutral,0.9999085664749146
600103,涉嫌隐瞒发行对象之间关联 青山纸业定增疑涉信披违规,neutral,0.9999008178710938
600401,联合光伏或回收10亿港币预付款 *ST海润保壳战愈艰,neutral,0.9999045133590698
600332,白云山业绩好助推股价,neutral,0.9998785257339478
002131,利欧股份收购标的千万负债来源不明,neutral,0.9998747110366821
600265,重庆小康8亿入主ST景谷 未来或注入矿业资产,neutral,0.9999098777770996
300211,江粉磁材上门讨债1191万 亿通科技没钱还？,neutral,0.9999115467071533
600765,军工央企再现千亿元资产整合 三公司纳入中国航发旗下,neutral,0.9999091625213623
600853,龙建股份年报拟10派5元 去年净利增长63.63%,positive,0.9997771382331848
600393,北京天鹅湾遭40位业主起诉：交楼五年没房产证,neutral,0.9997929930686951
603366,日出东方太阳能热水器产品陷质量纠纷 经销商损失超百万,negative,0.9995042085647583
000012,前海人寿去年底减持南玻1.13亿股,neutral,0.9998960494995117
600696,海银系“花式收购”匹凸匹背后 探究韩氏父子资本迷局,neutral,0.999911904335022
600671,天目药业终止重组或另寻卖壳 前两大股东争夺变“双赢”？,neutral,0.9998304843902588
600691,暂停上市股票还有权证价值,neutral,0.9999065399169922
300028,金亚科技进军游戏看走眼 拟购公司住址不存在,neutral,0.9999039173126221
002057,中钢天源涉嫌向关联方利益输送,negative,0.9994738698005676
002456,联车科技炮轰上市公司欧菲光:莫欺少年穷,neutral,0.9991617202758789
601012,唐骏协助调查引曝光伏业多晶硅走私案 前首富施正荣或牵扯其中,positive,0.9997261166572571
002018,华信国际员工人均薪酬涨超 20 倍，32 家公司翻番,positive,0.9996826648712158
002168,奇虎看上的是深圳惠程? ,neutral,0.9999121427536011
600713,涉嫌单位行贿 南京医药孙公司董事长被逮捕,negative,0.9994800686836243
600346,恒力股份借壳大橡塑涉嫌“萝卜借壳”,neutral,0.9999079704284668
000662,日化旧人索芙特进退失据,neutral,0.9997991919517517
000673,不要！“白菜价”股权遭员工弃领,neutral,0.9998977184295654
603838,启德45亿回购CVC股份，即将借壳四通股份A股上市,neutral,0.9999145269393921
300161,格力否认从华中数控购买机器人 华中数控2015年报涉虚假陈述,neutral,0.9999094009399414
002285,重要股东已连续3个月净减持 63只个股净减持超亿元,neutral,0.9998819828033447
002506,"年报出现多处财
务异常，协鑫集成遭深交所问询",negative,0.9994351267814636
600166,福田汽车氢燃料电池大订单实为“回转交易”,neutral,0.9999111890792847
600682,三胞对House of Fraser承诺落空,neutral,0.9997588992118835
600179,*ST黑化重组前景黯淡,negative,0.9993377327919006
600530,股东精准减持屡见不鲜 年内560家公司股东套现917亿,neutral,0.9998899698257446
600085,同仁堂旗下虚假广告被查 “足道”炮制治病神话,neutral,0.9999103546142578
601015,陕西黑猫：成本经受“低油价关” 产能发挥踩点油价反弹,neutral,0.9998550415039062
000859,新能源汽车爆发增长 铝塑膜望接力锂电池炒作,positive,0.9997358918190002
600998,机场北高新园区全力打造西部药谷,neutral,0.9999068975448608
600053,1000 万如何变 成 1000 亿元 九鼎：危险的金钱游戏,neutral,0.9999133348464966
603003,龙宇燃油35亿增发案疑云：巨额投资用途不详,neutral,0.9998948574066162
002186,全聚德高层集体辞职 为首旅收购麦当劳特许经营权铺路？,neutral,0.9999141693115234
300104,传美国电视机厂商Vizio被乐视收购,neutral,0.9999104738235474
600702,沱牌舍得原高层遭集体“换血”,neutral,0.999908447265625
002594,三星拟斥资5000亿韩元收购比亚迪4%股份，布局新能源,neutral,0.9999136924743652
601933,"传永辉超市、华润正在洽谈并购北方某省最大连锁企业
",neutral,0.9968137145042419
600297,广汇汽车 140 亿元已募资金用途存疑,negative,0.9994601607322693
000892,怕欣泰悲剧重演 基金闪离4只立案调查股,neutral,0.999477207660675
002555,三七互娱影游互动收购乱账,neutral,0.9999039173126221
600367,彭博：万达商业地产私有化！红星发展值得重点关注！,neutral,0.9999140501022339
002328,新朋股份设立股权基金投蚂蚁金服,neutral,0.9999107122421265
600075,宁波PVC老板失联了 焦点不止于两家A股公司,negative,0.9996016621589661
603023,威帝股份募投项目建设迟缓 披露信息与实际不符,neutral,0.9998168349266052
603936,博敏电子涉嫌违规用地 厂房随时被拆生产线面临全面停顿,negative,0.9730546474456787
600363,联创砸9.8亿 借势京东方西进重庆建全贴合厂,neutral,0.9999097585678101
002326,永太科技收购黑天鹅：标的物红牌未信披 贷款或受限,neutral,0.9999103546142578
002359,SWJ状告齐星铁塔获赔千万 金矿估值超亿元,neutral,0.9985945820808411
600182,S佳通股改后将规划资产注入 投资者呼吁否决“抠门”方案,neutral,0.980645477771759
300041,回天新材募投项目未批先建 或有被罚风险,negative,0.9993206262588501
000693,“内忧外患”倒逼ST华泽转型 拟注入优质资产稳定业绩,negative,0.486343652009964
000898,钢铁业重组路线图排定 鞍本将接棒宝武,neutral,0.9998714923858643
000761,钢铁业重组路线图排定 鞍本将接棒宝武,neutral,0.9998714923858643
000033,*ST新都保壳生变 丰兴汇资管介入,neutral,0.9999115467071533
600889,南京化纤被举报 3.7亿土地返还款不翼而飞,neutral,0.9986488223075867
600781,财务数据迥异 辅仁药业重组遭遇实名举报,neutral,0.9998944997787476
000673,《武林外传》告《龙门镖局》索赔2.4亿,neutral,0.9999138116836548
600771,13亿元回购核心资产 广誉远主营产品存按期续期风险,positive,0.9996435642242432
603883,老百姓大药房电商团队解散 曾被药监局约谈,neutral,0.9999058246612549
603567,珍宝岛：销量骤降收入蹊跷大增日均会务支出高达53万,neutral,0.999909520149231
600351,亚宝药业5亿存货积压业绩下滑 医药渠道集体变革,negative,0.7765324115753174
603189,网达软件第三季度毛利率腰斩存货暴增近 3 倍,positive,0.660159170627594
300399,京天利投资者索赔额已超3700万 多谜团浮出或已构成欺诈上市,positive,0.9971989393234253
600318,四问新力金融重组异象 收购标的连续三年遭处罚,negative,0.9996095299720764
