text,sentiment_content,conetent_score,label,sentiment_title,title_score
"平的行业共性关键技术，并成功开发了美国、欧盟、东南亚等地的用户市场。

　　中国石油与化工工业规划院院长顾宗勤说，依靠技术自主创新，兴发集团已成为国内最大的精细磷化工生产企业、国内第一家掌握电子级磷酸生产技术的企业、世界最大的六偏磷酸钠生产企业以及亚洲最大的三聚磷酸钠生产企业。

　　完善的技术创新体系，使得集团业绩顶住经济下行的压力逆市上扬。李国璋介绍，兴发全集团2014年实现销售收入260亿元，同比增长20％以上。

　　拥有了105项授权专利的兴发集团，也开启了“技术输出”之旅。今年以来，兴发已与俄罗斯、哥斯达黎加、缅甸、伊朗等国的企业，就多项生产技术的使用权达成了合作协议。

　　“兴发集团的‘创新之路’，对我国功能性磷酸及磷酸盐企业从低水平重复建设走向高端创新具有示范作用。”顾宗勤指出。",neutral,0.9998738765716553,"兴发集团与世界名企""联姻"" 磷酸产品进军全球饮食市场",neutral,0.997158408164978
"30吨高纯食品级磷酸产品出口全球最大软饮料企业可口可乐公司、与世界最大食品制造企业雀巢公司确定长期合作关系……近日，上市公司、国内最大的精细磷化工生产企业——湖北兴发化工集团股份有限公司接连与多家世界知名食品、饮料企业开展合作，高科技食品级磷酸产品进军全球市场。专家指出，这对于我国功能性磷化工产品“高端化”具有示范意义。

　　“与世界知名企业确立合作关系，得益于科技创新。”兴发集团董事长李国璋介绍，兴发集团始终坚持自主创新，除常规地与国内外大学、科研院所建立战略合作关系，引进、重用人才，对新产品、新技术研发项目予以重奖外，还坚持以市场为导向，研发、生产满足市场需要的产品。

　　兴发集团总工程师李永刚介绍，食品级磷酸是国际公认的最安全和应用最广的新型食品添加剂，有助于改良食品饮料的品质以及口感，属精细磷化行业技术的“制高点”。经过可口可乐及雀巢两家跨国公司1年多的严格评审考核，兴发获得了“行业内的领先者和最佳生产基地”的评价，并与两家公司正式确定合作关系。

　　目前，通过广泛开展产学研合作，兴发集团先后研发攻克了快速溶解性三局磷酸盐、低链长六偏磷酸钠、硬盘级次磷酸钠、低发气速度酸式焦磷酸钠等具有世界领先水",neutral,0.9999090433120728,"兴发集团与世界名企""联姻"" 磷酸产品进军全球饮食市场",neutral,0.9999077320098877
"平的行业共性关键技术，并成功开发了美国、欧盟、东南亚等地的用户市场。

　　中国石油与化工工业规划院院长顾宗勤说，依靠技术自主创新，兴发集团已成为国内最大的精细磷化工生产企业、国内第一家掌握电子级磷酸生产技术的企业、世界最大的六偏磷酸钠生产企业以及亚洲最大的三聚磷酸钠生产企业。

　　完善的技术创新体系，使得集团业绩顶住经济下行的压力逆市上扬。李国璋介绍，兴发全集团2014年实现销售收入260亿元，同比增长20％以上。

　　拥有了105项授权专利的兴发集团，也开启了“技术输出”之旅。今年以来，兴发已与俄罗斯、哥斯达黎加、缅甸、伊朗等国的企业，就多项生产技术的使用权达成了合作协议。

　　“兴发集团的‘创新之路’，对我国功能性磷酸及磷酸盐企业从低水平重复建设走向高端创新具有示范作用。”顾宗勤指出。",neutral,0.9998738765716553,天马精化被指排放刺鼻气体 环保部门要求整改,neutral,0.9999077320098877
"　　近日，苏州市高新区浒墅关镇丹景廷小区住户向《每日经济新闻》反映称，天马精化（002453，SZ）厂区烟囱里时常冒出褐黄色和黑色的烟，被风刮向他们居住的小区，刺鼻的氨味几乎让人窒息。他们多次向环保部门及当地政府反映，但问题始终没得到解决。

　　“天马精化存在的一些污染问题，我们的确多次接到过投诉，已经要求企业按照规定不断整改，加大环保方面的投入，目前应该尚在整改过程中。”苏州市环境保护局法制信息处陈处长向记者表示。

　　居民：企业经常偷排难闻气体

　　2014年12月13日，记者来到天马精化的生产区苏州高新区浒墅关镇。工厂大门戒备森严，记者辗转来到厂区外围，在东大门口明显闻到一股刺鼻的氨味，从侧面看厂区内仍在进行加工作业。从工厂沿永莲路向南，就到了丹景廷小区，其间仍不断闻到刺鼻的气味。

　　在丹景廷小区，小区居民陈先生对记者说，“天马精化经常排放刺鼻气体，严重困扰居民生活，小区里小孩都不经常出来，大人闻到那种气味也都受不了。”

　　丹景廷小区分为两部分，一边是多层，一边是别墅。居民王大爷表示，这几天可能是有什么大检查还好些，前些日子小区里简直没法住，白天就有味道，到了夜里会更浓，常常会被熏醒，门窗",neutral,0.9999078512191772,天马精化被指排放刺鼻气体 环保部门要求整改,neutral,0.9999077320098877
"关紧也不顶用，而且这种气味只要进来就很难散去，闻多了会恶心。

　　在紧邻天马精化厂区时，难闻刺鼻的氨气味道让记者头昏，走了一段时间就感觉到呼吸困难。“你现在这种症状很正常，刚开始的时候我们也经常出现这种情况，闻得时间长了就习惯了，但也不知道会不会对身体有伤害。”徐先生对《每日经济新闻》记者说。

　　“你们没有向当地环保部门反映？他们没有来处理？”记者询问道，小区居民称他们向苏州市高新区环保局多次举报后，环保局来了一两位工作人员着便装且不带检测设备，到达现场闻到刺鼻气味后，仅仅是立即让企业开启环保设备。

　　2014年5月26日，苏州高新区环保局环境监察大队段大队长到天马精化生产区现场，看到该企业存在两个严重问题，其一是人工加料，其二是密封不严，后回复投诉的居民称要求天马精化立即整改，将人工加料改自动加料，加强密封措施。

　　但直至2014年7月中旬还是经常有味道，居民和苏州高新区环保局孙副队长到现场查看，天马精化还是人工加料，反应池也没有密封。居民们表示，苏州市高新区环保局长和段队长曾对大家承诺，于2014年7月底在丹景廷小区后面的化工区安装五套空气监测设备，主要监测硫化氢和TOVC等，但一直没有安装",neutral,0.9998886585235596,天马精化被指排放刺鼻气体 环保部门要求整改,neutral,0.9999077320098877
"。

　　环保部门：已要求企业整改

　　就此事件，《每日经济新闻》记者从江苏省环保厅获悉：2014年11月6日上午，江苏省环保厅柏仇勇副厅长在江苏省人民来访接待中心接待群众来访1批4人次。

　　这些来访群众便是丹景廷小区的四位居民，他们代表小区内180多户居民反映，他们居住的小区距浒东化工集中区有600米距离，长期以来一直受到园区内天马精化等企业排放废气的严重困扰，向当地环保部门投诉多次得不到解决；最近，天马精化在污染问题没有解决的情况下，又新增生产项目，致使污染进一步加重，同时天马公司在新增项目报批过程中，采取弄虚作假措施，将群众参与部分本应征求直接受影响人意见的内容改由他人代替，致使项目顺利通过政府部门审批。

　　柏仇勇副厅长在认真听取上访人反映的情况后表示，将认真督办上访群众反映的化工园区规划环评中绿化带建设、天马公司的污染以及新增项目审批过程中是否弄虚作假等问题，尽力帮助群众解决好污染扰民问题。

　　“自2014年10月份以来，环保局陆续接到反映浒东化工集中区天马精化废气污染的投诉。我们立即就该问题会同高新区环保局进行现场调处，尤其是该问题由省环保厅督办后，市委市政府及我们局领导都高度重视，市",neutral,0.9999103546142578,天马精化被指排放刺鼻气体 环保部门要求整改,neutral,0.9999077320098877
"领导到企业及周边地区进行暗查，我们局领导到企业进行实地检查，我局和高新区环保局执法人员白天、夜间多次往该企业现场检查，发现该企业由于建厂时间较早，厂房原有设计布局不合理，企业环境管理存在一定的问题。”苏州市环保局宣传信息处陈处长向 《每日经济新闻》记者介绍。

　　“由于我们高新区主要领导是从太仓市调任过来的，太仓市医药企业多，环保工作做得相对到位些。2014年10月14日，高新区环保局组织包括天马精化在内的4家医药企业，前往太仓学习医药废气治理经验，要求相关企业在污染治理设施的运行及维护等各方面进行改造升级。”段大队长称。

　　陈处长介绍，2014年11月8日下午，局里分管领导、浒墅关镇政府、高新区环保局、当地派出所及社区在浒墅关镇政府召开了一次协调会，会上各部门对前阶段的工作进行了沟通交流，并明确了下一阶段的工作，苏州市环保局和高新区环保局针对天马精化存在的环境问题提出了整改要求，天马精化承诺将实施改进：将尾气吸收塔投资改进为自动化控制；实施硫化氢自动化监测和吸收液滴加中和自动化控制系统等，杜绝人为操作带来的负面影响。主要目的是对产生的废气预先进行吸收处理，处理后的尾气再接入尾气吸收塔进行达标处理；与R",neutral,0.9999114274978638,天马精化被指排放刺鼻气体 环保部门要求整改,neutral,0.9999077320098877
"TO氧化炉生产公司进行研讨，根据氧化炉设计性质调整氧化炉废气处理种类；计划把部分生产车间产生的有机物废气接入氧化炉进行氧化处理；减少尾气排放量，最大化减少无组织废气排放；同时在公司大门设置电子信息交流平台，使群众及员工即时方便了解公司的环境指数等各类信息。

　　“执法人员也从2014年11月中旬起，每天（工作日）针对天马精化以上的整改措施实施现场巡查，督促企业加快整治，落实各项污染防治措施，目前各项整改进展顺利，废气扰民现象大大缓解，投诉举报大量减少。”段大队长补充称。

　　公司回应：会按要求整改

　　在天马精化公司会议室，办公室工作人员介绍说：“我们不存在老百姓所说的排放刺鼻气味，作为化工企业肯定会有一些气味，但这种气味不可能达到刺鼻的状态，而且我们都是达标排放。现在浒墅关工业园其实就是化工产业园，区内那么多家化工企业，老百姓闻到的刺鼻气味不一定是天马精化所排放的，而且公司领导也对环保要求很高，宁可少生产也要求企业达标排放，但我们企业也不能说在环保方面完全没有问题。”

　　天马精化证券事务代表王庆营表示，公司在环保方面不断加大力度，2014年就上了近10亿元的环保设施，上次募投的项目因为百姓担心污染",neutral,0.9999103546142578,天马精化被指排放刺鼻气体 环保部门要求整改,neutral,0.9999077320098877
"问题以及声称环评听证程序有问题，那个项目就改做食品了。公司作为化工企业历来注重环保，但也不否认环保方面还有些不足，公司正按照环保部门的要求在整改。

　　浒墅关镇分管环保、安全工作的许副镇长称：作为化工企业一点味道没有也不现实，但天马精化一直守法经营，环保方面还是比较规范的，现在国家标准和民间标准差距太大，以老百姓的感受而言相关企业很难做到，但企业在不断加大环保投入。居住区离天马精化的卫生防护距离有600米，这完全符合国家对化工企业的要求。而且天马精化等企业及浒墅关工业园建设在前，百姓居住的小区建成在后，没有理由要企业对此买单或搬迁。这个地区的规划有问题，得去问规划部门如何规划？企业达标排放也难免会闻到刺鼻气味。

　　对此，环保部华东督察中心一位专家表示，这样的企业如果处理不好会有两种污染：一种是危废污染，另一种是气体污染。这种企业环保方面做到完全达标非常难，多数企业存在偷排现象或污染设施时开时关现象，以此节约污染处理成本，如果污染处理设施投入到位，按规范要求正常开启，600米外的居住区应该闻不到刺鼻味道。",neutral,0.9999085664749146,天马精化被指排放刺鼻气体 环保部门要求整改,neutral,0.9999077320098877
"30吨高纯食品级磷酸产品出口全球最大软饮料企业可口可乐公司、与世界最大食品制造企业雀巢公司确定长期合作关系……近日，上市公司、国内最大的精细磷化工生产企业——湖北兴发化工集团股份有限公司接连与多家世界知名食品、饮料企业开展合作，高科技食品级磷酸产品进军全球市场。专家指出，这对于我国功能性磷化工产品“高端化”具有示范意义。

　　“与世界知名企业确立合作关系，得益于科技创新。”兴发集团董事长李国璋介绍，兴发集团始终坚持自主创新，除常规地与国内外大学、科研院所建立战略合作关系，引进、重用人才，对新产品、新技术研发项目予以重奖外，还坚持以市场为导向，研发、生产满足市场需要的产品。

　　兴发集团总工程师李永刚介绍，食品级磷酸是国际公认的最安全和应用最广的新型食品添加剂，有助于改良食品饮料的品质以及口感，属精细磷化行业技术的“制高点”。经过可口可乐及雀巢两家跨国公司1年多的严格评审考核，兴发获得了“行业内的领先者和最佳生产基地”的评价，并与两家公司正式确定合作关系。

　　目前，通过广泛开展产学研合作，兴发集团先后研发攻克了快速溶解性三局磷酸盐、低链长六偏磷酸钠、硬盘级次磷酸钠、低发气速度酸式焦磷酸钠等具有世界领先水",neutral,0.9999090433120728,天马精化被指排放刺鼻气体 环保部门要求整改,neutral,0.9999116659164429
